type,key,k1,k2,M,m,a,e,i,x,y,z,vx,vy,vz
binary,63344747706353364,11808879983378072444,18071771938711787569,0.4349581354306729,816.0757198680814,235.81836780246854,0.18099195272728433,120.5185208066215, -3.3169477644801506,2.3682550877531625,6.15324875218682,0.8533961971491003,-0.20734726074697815,0.028771667676761734
binary,2376820933943085977,7241688680804947622,3777164964844153090,1199.9770223120338,1632.1120824474187,616.3875702652806,0.4079067197453533,61.12239780899026, -2.7406946262232172,2.7433660931339534,5.063547750859378,1.5560479227180668,-0.9243798694085976,-1.3632353031918527
binary,5066494278105341099,3883930422735097433,14587418359275782216,1684.3815894762822,630.7745951013228,833.5837037198406,0.23700122579583033,76.8196340386296, 2.2840790662459085,-0.2505816390992536,-3.665071969343689,0.3397496641173165,1.4363276861113294,-0.6323754269866054
binary,18335305499288543749,938164929922015069,813373094413022427,1212.1145439802115,4063.087885725662,775.6752409779435,0.7715576040244057,70.37786979608133, -2.7393508153196677,0.23065935713038305,7.300218822988888,0.7604210478734005,-1.167050646850091,1.3196322838101622
binary,7851025533223692862,10212427216062004043,18024990497560581329,1914.5708914623012,468.39359186698516,202.38754298672728,0.4430371775232878,127.46831830865604, -3.1193081804514926,0.3246606705304753,7.532323891808606,0.5507686872155235,-0.20154334003217395,1.9838076627786567
binary,11194270779661556242,14824481109629390012,3367580311410151913,0.9150024804112745,1197.3726738167002,616.8273794149926,0.647458319844226,36.26168207456415, 2.4238192649512302,0.006349631591256473,-2.5368508371389082,0.7121929457343403,0.39370006375868133,-1.4649622090091137
binary,1549937218473387865,6915403553434606076,11457931403549623455,1521.7352813475875,4583.689959838983,914.9201655084903,0.9039945215896815,111.33955959134755, 1.802433538433833,0.03836311577819805,-4.062176408857664,-0.5459633204128133,0.4609021375743584,0.33225498141434084
binary,7895764566877900392,11035884649799351892,17527059353950737285,1692.3380412726622,3714.450268356693,650.2871411231945,0.1976175322095784,10.399193521108492, -2.9252932487216534,1.5195918708726872,7.064119502862065,0.2667844449003713,-0.8713114478223698,1.3635261471430793
binary,8834328718304152903,13318389429791730196,13460089284011175252,1878.5122242362866,2263.1264731875817,340.76137589608965,0.8619952003132817,126.40772643085218, 0.9031946688748227,-0.8232078779889554,-2.8903872741818715,-1.5024400463734517,0.45937279643032874,-0.31253031161264655
binary,9213493081844702626,7642984190488427672,4514580587716316615,2.3220454537164845,1293.720960451653,999.8428305868142,0.7635560463903803,65.41043927051577, 1.251617481124442,-0.827002684802814,-3.310867710588976,-0.9284380845651773,-0.6434738670919393,-2.0138293613115206
binary,9975713910194308844,5986211132255519128,8787814469008018561,1.0825061586726072,1487.3251849805918,207.47128290225734,0.2881301939418096,104.78442266110444, 0.5614865905248988,-0.3812504272958203,-2.9689279286672314,-0.2059784737304677,1.3958834807566631,-2.605442513434438
binary,3831805146772755125,15858607510437500433,7584500097674140973,2258.407515399718,5190.708542153191,884.4555863075279,0.6244044979656311,25.260060678978007, 1.2801930468148317,-0.840671319060954,-3.2360554661216034,-0.19049492768926268,-0.2889801047698616,-0.8916200033209061
binary,3212202633125308960,5291855839661057844,8814696660705463308,2310.872501065621,6486.3533054148875,800.8676889387883,0.8451268168857301,119.69288819354217, 1.2757219829185669,-0.819924317123507,-3.2224072455702304,0.4906065248954477,-0.5040676755977705,-1.8977220610786774
binary,6315582110223572293,11945803428495414873,873135125437158370,3424.973645473032,1331.9706045901435,646.1581639408678,0.6742607768543685,104.93466482084239, 4.505736576721173,-4.577525395402284,-3.3743112755646543,-0.23425986549629718,0.32299884037768883,-1.201407811267528
binary,7213041417339274901,17662083291214961280,9699955861593966449,3209.7975290781105,2725.778436490242,329.462484188857,0.9295443856326526,99.17524842065235, 3.6778637275585804,-4.509550393296897,-4.585264948541992,-0.2718767256245593,-0.12074332042250639,-0.7647522692921327
binary,9036642332152538634,7984239663629689574,18365478074148626958,271.8420414812663,2088.3335566431024,449.74441526901427,0.7042759887968839,58.22295518277411, -3.5870768094909558,0.43368557959802406,8.97411306216498,0.29232240587840846,-0.6209969102013377,1.5817671179647286
binary,535483640722014698,5083157013121979828,3750195515535771060,2748.624054591067,6615.405676238604,904.9262222636747,0.9623744507212728,72.44435134245998, 2.177381912104618,-0.16722803430700528,-3.5096482995054776,-0.324213667388036,1.1959767437723126,-0.3993337275100583
binary,11124459759382917722,15502785941780044879,13499285012282015999,3529.951757143479,2533.7003305656012,727.709357725884,0.4543097830265394,75.79280234293248, 3.67845795429717,-4.616332177059278,-4.575707288842179,-0.6784525205706647,0.29998592174194977,-0.9615651726136444
binary,13057875705508902602,8316566214316110713,936874209000479877,5035.255486542948,1324.7694920038136,670.6601609489096,0.541914159916097,58.82164727693575, -3.056195289398649,1.1686970648757027,7.4219102182898276,0.4706273849849905,-1.2356781644100192,0.7037793746539532
binary,17750285164245429295,15640345084145783463,7365683977587214045,7625.088652808634,1174.3838301002131,598.9112853879099,0.45165827084675714,31.567517155009224, -3.9274040138516546,0.5991188691614806,8.619663554160171,0.4586751617073745,-0.5609678790619587,1.8124023605253217
binary,17101111280026111370,2035331923905567128,1255119398419635598,5.065570273190758,11.350732183939124,92.28410908596976,0.6187037129246894,151.76111720816235, 0.6442578743123502,-0.6100401629903502,-2.654693440529936,-0.7987831083192917,-0.08146500661075957,-3.0326465240812923
binary,12667303366369256748,5389592023677679855,11261801599727322237,4.789209103151417,8.823642076420196,64.25126846973372,0.23475667023015956,101.49916585036318, 2.263726658548141,-0.30726688382050016,-2.2210532934808596,-0.010679528941671757,0.18289248380310605,-1.0297348326375064
binary,6636717955384513348,22385391404296102,17830849529145923197,0.7684079181471446,2.486979139136967,392.31113986515663,0.7226006293656092,56.15290186002837, -3.5275950219645043,0.13323328476665838,8.309867586220625,0.7554109457419814,-1.178750679726478,1.460437267009781
binary,5102685469228843505,13006420655193160001,11391877759799503430,0.09409114519101366,1.2414775190693483,93.22559392858876,0.2749594063949183,39.89238392668826, 2.2250285706403683,-0.17881822157648106,-3.5654340167170053,-1.2653747447785737,0.424758336483917,-0.3598901887199918
binary,35617979903199289,6307069690810006629,18156772937809123073,7.377693219579496,4.113357680764781,208.07730113786553,0.4928292995217438,134.81505683343138, 1.1771591008875926,-0.28052978834998676,-3.3969923519684135,0.5757792390059778,0.4482566132176086,1.9869635324439907
binary,18257571067941591056,12216276744930213055,5258740031631590500,5.817847808065887,6.202777786419673,44.91269470744408,0.11618421537323424,168.873941645568, 0.8191486808259313,-0.6231644115234156,-3.357397737783557,1.5423098115059697,1.8200069328527282,-0.6454405563184227
binary,7009400845851322052,8474647146436666553,17785894004309730825,0.20160820125515763,3.5348121113602087,112.6194190491789,0.42018705857754807,75.23866918852555, 0.6143711610417769,0.43245470157271787,-3.325023279444338,0.2832181117542805,-0.3660526581899923,0.8511173205614091
binary,12669108193430177888,9634534601663563868,14868115695393093385,0.496918762030137,2.1972349910265185,318.4712372462859,0.5066757274268305,47.83645339844272, -3.670639915084576,0.24668479779310112,8.83214574206649,0.17160805517216737,-0.19705631350286493,1.6170355531530864
binary,14518196311481144902,5343840668035669315,11788756275797210943,0.4877048950301692,2.6583578949772337,40.599057213364965,0.01607120857025571,146.3915067345639, -2.7740117587593542,0.24678476185211976,7.126208011092779,1.1128416498332392,0.40026385442217616,1.6415911104014882
binary,5367666853536571775,15889978987298967158,10685774534784938987,0.7808925939056253,16.45607396245558,158.2861803006659,0.34317875877891707,97.51795114657419, 0.9613673208436151,-0.5800746804077442,-3.050540947038663,0.4026432833116615,-0.5061751000821069,-0.7249010918344295
